id;start_date;end_date;language
1;2024-06-11T17:35:45;2024-06-11T04:34:35;FRENCH
2;2024-06-11T14:59:28;2024-06-11T11:38:09;FRENCH
3;2024-06-11T02:52:34;2024-06-10T20:06:39;SPANISH
4;2024-06-11T01:03:47;2024-06-11T08:52:27;ENGLISH
5;2024-06-11T15:58:56;2024-06-11T16:06:48;ENGLISH
6;2024-06-11T02:55:38;2024-06-11T16:53:16;ENGLISH
7;2024-06-11T13:43:45;2024-06-11T02:32:36;FRENCH
8;2024-06-11T01:23:00;2024-06-10T23:08:43;ENGLISH
9;2024-06-11T09:05:19;2024-06-11T09:49:13;SPANISH
10;2024-06-11T03:27:03;2024-06-11T16:58:02;SPANISH
