id;street_address;postal_code;city;state_province
1;wetly;windsurf;Emanuel de Nossa Senhora;methane provided intermarry
2;till or;across as;Albuquerque do Norte;drat
3;bitter;refute lest unlawful;Martins de Nossa Senhora;grateful
4;dimly;a;Moreira do Norte;contingency
5;slim;hastily except;Macedo do Norte;meaningfully speedily fooey
6;ick;capital yuck;Macedo de Nossa Senhora;unconscious beyond heavily
7;reassuringly;meh boohoo meh;Melo do Sul;tunnel
8;thoroughly;now uh-huh;Clara do Norte;amidst
9;selfishly innocently;but checkout;Braga do Descoberto;down
10;neaten;microblog hiccup jar;Braga do Sul;whether sweaty aside
